Gene_ID	KO_ID	Description	Pathway	Pathway Function	Major_Group
evm.model.CP144693.1_RagTag.381	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2947	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.596	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.1814	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.5820	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.721	K01895	ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.contig_1584.9	K01895	ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.881	K01785	galM, GALM; aldose 1-epimerase [EC:5.1.3.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.662	K01785	galM, GALM; aldose 1-epimerase [EC:5.1.3.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2153	K01785	galM, GALM; aldose 1-epimerase [EC:5.1.3.3]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.3222	K01835	pgm; phosphoglucomutase [EC:5.4.2.2]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.1263	K15779	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1828	K15779	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.1907	K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.6023	K01792	E5.1.3.15; glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.1385	K01837	BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.3716	K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.3587	K01596	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.2984	K01610	pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.4599	K01223	E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.2323	K20118	ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]	Glycolysis / Gluconeogenesis	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.376	K01647	CS, gltA; citrate synthase [EC:2.3.3.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.1091	K01648	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2908	K01648	ACLY; ATP citrate (pro-S)-lyase [EC:2.3.3.8]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2367	K01681	ACO; aconitate hydratase [EC:4.2.1.3]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.3459	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.951	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.contig_2002.5	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.178	K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.1186	K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.344	K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1315	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1269	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.96	K00382	DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2236	K01899	LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.1374	K01900	LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2269	K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.521	K00233	frdA, fdrA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144698.1_RagTag.2171	K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.678	K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.5088	K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.2984	K01610	pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.3587	K01596	E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.1399	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.166	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.contig_2181.3	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.contig_2516.6	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.3482	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.82	K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.648	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.3822	K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.2147	K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	Citrate cycle (TCA cycle)	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3297	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3883	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.3335	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.1164	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.1512	K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.686	K01783	rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.113	K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.4112	K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.1273	K00616	TALDO1, talB, talA; transaldolase [EC:2.2.1.2]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144692.1_RagTag.4296	K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144700.1_RagTag.5380	K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.1731	K00852	rbsK, RBKS; ribokinase [EC:2.7.1.15]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.3119	K00852	rbsK, RBKS; ribokinase [EC:2.7.1.15]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.3222	K01835	pgm; phosphoglucomutase [EC:5.4.2.2]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.1263	K15779	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1828	K15779	PGM2; phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.979	K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.3716	K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144690.1_RagTag.249	K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144694.1_RagTag.3259	K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144695.1_RagTag.2829	K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2837	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.307	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.3216	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144689.1_RagTag.106	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144691.1_RagTag.2993	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.851	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144693.1_RagTag.231	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.1502	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.2832	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144697.1_RagTag.2463	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144699.1_RagTag.3351	K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
evm.model.CP144696.1_RagTag.374	K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]	Pentose phosphate pathway	09101 Carbohydrate metabolism	09100 Metabolism
