Gene_Name	GO_ID	GO_Name	GO_Annotation	GO_Aspect
evm.model.CP144700.1_RagTag.527	GO:0000976	transcription cis-regulatory region binding	Binding to a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon.	molecular_function
evm.model.CP144690.1_RagTag.346	GO:0005096	GTPase activator activity	Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.	molecular_function
evm.model.CP144697.1_RagTag.2418	GO:0015297	antiporter activity	Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported in opposite directions in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy. The reaction is: solute A(out) + solute B(in) = solute A(in) + solute B(out).	molecular_function
evm.model.CP144699.1_RagTag.1338	GO:0003924	GTPase activity	Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate.	molecular_function
evm.model.CP144690.1_RagTag.4023	GO:0061630	ubiquitin protein ligase activity	Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S = X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues.	molecular_function
evm.model.CP144692.1_RagTag.3373	GO:0006487	protein N-linked glycosylation	A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the N4 atom of peptidyl-asparagine, the omega-N of arginine, or the N1' atom peptidyl-tryptophan.	biological_process
evm.model.CP144696.1_RagTag.2484	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144698.1_RagTag.652	GO:0009639	response to red or far red light	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a red or far red light stimulus. Red light is electromagnetic radiation of wavelength of 580-700nm. Far red light is electromagnetic radiation of wavelength 700-800nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs.	biological_process
evm.model.CP144700.1_RagTag.3519	GO:0010073	meristem maintenance	Any process involved in maintaining the identity, size and shape of a meristem.	biological_process
evm.model.CP144699.1_RagTag.3668	GO:0009507	chloroplast	A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.	cellular_component
evm.model.CP144695.1_RagTag.504	GO:0000124	SAGA complex	A SAGA-type histone acetyltransferase complex that deubiquitinates H2A and/or H2B. This complex is organized into several functional submodules: a structural core including the activator binding module and consisting of ADA1 or a homolog, members of the SPT and TAF protein families as well as promotor recruitment factor TRRAP/TRA1, a histone acetyltransferase (HAT) module consisting of GCN5/KAT2A or PCAF/KAT2B, ADA2, ADA3/NGG1, and SGF29 or homologues thereof, a histone deubiquitinase (DUB) module consisting of ATXN7/SGF73, ATXN7L3/SGF11, ENY2/SUS1 and USP22/UBP8 or homologues thereof, and in some taxa a splicing module consisting of SF3B3 and SF3B5 or homologues thereof (not in fungi). In budding yeast also contains Spt8 which distinguishes it from SAGA-like (SLIK) complex (GO:0046695).	cellular_component
evm.model.CP144690.1_RagTag.4037	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144699.1_RagTag.410	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144700.1_RagTag.2453	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144696.1_RagTag.71	GO:0005667	transcription regulator complex	A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription.	cellular_component
evm.model.CP144699.1_RagTag.3398	GO:0016567	protein ubiquitination	The process in which one or more ubiquitin groups are added to a protein.	biological_process
evm.model.contig_2556.2	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144700.1_RagTag.419	GO:0005179	hormone activity	The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process.	molecular_function
evm.model.CP144692.1_RagTag.3825	GO:0000045	autophagosome assembly	The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm.	biological_process
evm.model.CP144697.1_RagTag.778	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144692.1_RagTag.4072	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144700.1_RagTag.6086	GO:0005524	ATP binding	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.	molecular_function
evm.model.CP144695.1_RagTag.1886	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144692.1_RagTag.3462	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144701.1_RagTag.8	GO:0003989	acetyl-CoA carboxylase activity	Catalysis of the reaction: ATP + acetyl-CoA + HCO3- = ADP + phosphate + malonyl-CoA.	molecular_function
evm.model.CP144694.1_RagTag.2289	GO:0000122	negative regulation of transcription by RNA polymerase II	Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II.	biological_process
evm.model.CP144692.1_RagTag.4104	GO:0008898	S-adenosylmethionine-homocysteine S-methyltransferase activity	Catalysis of the reaction: S-adenosyl-L-methionine + L-homocysteine = S-adenosyl-L-homocysteine + L-methionine.	molecular_function
evm.model.CP144697.1_RagTag.449	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144694.1_RagTag.3042	GO:0016491	oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	molecular_function
evm.model.CP144690.1_RagTag.3006	GO:0004722	protein serine/threonine phosphatase activity	Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate.	molecular_function
evm.model.CP144694.1_RagTag.3451	GO:0003924	GTPase activity	Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate.	molecular_function
evm.model.CP144699.1_RagTag.2927	GO:0003756	protein disulfide isomerase activity	Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins.	molecular_function
evm.model.CP144699.1_RagTag.4090	GO:0006621	protein retention in ER lumen	The retention in the endoplasmic reticulum (ER) lumen of soluble resident proteins. Sorting receptors retrieve proteins with ER localization signals, such as KDEL and HDEL sequences or some transmembrane domains, that have escaped to the cis-Golgi network and return them to the ER. Abnormally folded proteins and unassembled subunits are also selectively retained in the ER.	biological_process
evm.model.CP144693.1_RagTag.717	GO:0015297	antiporter activity	Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported in opposite directions in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy. The reaction is: solute A(out) + solute B(in) = solute A(in) + solute B(out).	molecular_function
evm.model.CP144695.1_RagTag.2507	GO:0004385	guanylate kinase activity	Catalysis of the reaction: ATP + GMP = ADP + GDP.	molecular_function
evm.model.CP144691.1_RagTag.1211	GO:0003680	minor groove of adenine-thymine-rich DNA binding	Binding to a DNA structure formed by the minor groove of adenine-thymine-rich DNA regions. Examples of proteins having this function are AT-rich interaction domain (ARID)-containing proteins.	molecular_function
evm.model.CP144690.1_RagTag.463	GO:0007165	signal transduction	The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.	biological_process
evm.model.CP144691.1_RagTag.656	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144695.1_RagTag.2122	GO:0008017	microtubule binding	Binding to a microtubule, a filament composed of tubulin monomers.	molecular_function
evm.model.CP144695.1_RagTag.670	GO:0009617	response to bacterium	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium.	biological_process
evm.model.CP144696.1_RagTag.3467	GO:0010073	meristem maintenance	Any process involved in maintaining the identity, size and shape of a meristem.	biological_process
evm.model.CP144700.1_RagTag.5289	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144691.1_RagTag.695	GO:0000911	cytokinesis by cell plate formation	The process of dividing the cytoplasm of a parent cell where a structure forms in the cytoplasm and grows until reaching the plasma membrane, thereby completely separating the cytoplasms of adjacent progeny cells. An example of this is found in Arabidopsis thaliana.	biological_process
evm.model.CP144700.1_RagTag.1300	GO:0050660	flavin adenine dinucleotide binding	Binding to FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2.	molecular_function
evm.model.CP144695.1_RagTag.3027	GO:0000993	RNA polymerase II complex binding	Binding to an RNA polymerase II core enzyme, a multisubunit eukaryotic nuclear RNA polymerase typically composed of twelve subunits.	molecular_function
evm.model.CP144690.1_RagTag.202	GO:0046467	membrane lipid biosynthetic process	The chemical reactions and pathways resulting in the formation of membrane lipids, any lipid found in or associated with a biological membrane.	biological_process
evm.model.CP144691.1_RagTag.1912	GO:0005576	extracellular region	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	cellular_component
evm.model.CP144700.1_RagTag.869	GO:0008270	zinc ion binding	Binding to a zinc ion (Zn).	molecular_function
evm.model.CP144695.1_RagTag.1385	GO:0005643	nuclear pore	A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined.	cellular_component
evm.model.CP144690.1_RagTag.454	GO:0003680	minor groove of adenine-thymine-rich DNA binding	Binding to a DNA structure formed by the minor groove of adenine-thymine-rich DNA regions. Examples of proteins having this function are AT-rich interaction domain (ARID)-containing proteins.	molecular_function
evm.model.CP144691.1_RagTag.1223	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.contig_4109.3	GO:0005743	mitochondrial inner membrane	The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae.	cellular_component
evm.model.CP144697.1_RagTag.1921	GO:0005802	trans-Golgi network	The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination.	cellular_component
evm.model.CP144699.1_RagTag.3977	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144697.1_RagTag.1564	GO:0005506	iron ion binding	Binding to an iron (Fe) ion.	molecular_function
evm.model.CP144699.1_RagTag.511	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144693.1_RagTag.406	GO:0009535	chloroplast thylakoid membrane	The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana.	cellular_component
evm.model.CP144691.1_RagTag.113	GO:0004802	transketolase activity	Catalysis of the reversible transfer of a 2-carbon ketol group (CH2OH-CO-) from a ketose phosphate donor to an aldose phosphate acceptor.	molecular_function
evm.model.CP144696.1_RagTag.1567	GO:0015986	proton motive force-driven ATP synthesis	The chemical reactions and pathways resulting in the formation of ATP driven by transport of protons across a membrane to generate an electrochemical gradient (proton-motive force).	biological_process
evm.model.CP144693.1_RagTag.390	GO:0005672	transcription factor TFIIA complex	A component of the transcription machinery of RNA Polymerase II. In humans, TFIIA is a heterotrimer composed of an alpha (P35), beta (P19) and gamma subunits (P12).	cellular_component
